workload_key,categories,M,K,N,dtype,mode,m,k,n,rows,cols,iteration,gops
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,1,1.465
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,2,2.27457
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,3,2.42305
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,4,2.34057
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,5,2.35239
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,6,2.34581
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,7,1.80323
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,8,2.18226
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,9,2.12262
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,10,2.65294
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,11,2.38992
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,12,2.43289
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,13,2.51608
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,14,1.43346
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,15,2.38992
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,16,2.43855
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,17,2.54818
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,18,1.58097
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,19,1.8817
128x128x128_i16,square,128,128,128,i16,optimized_final,64,8,16,2,8,20,2.55128
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,1,340.115
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,2,351.47
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,3,252.23
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,4,342.174
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,5,341.847
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,6,335.125
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,7,336.175
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,8,339.469
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,9,333.46
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,10,352.162
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,11,351.355
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,12,212.96
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,13,349.525
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,14,344.369
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,15,344.811
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,16,346.033
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,17,351.816
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,18,224.585
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,19,272.316
512x512x2048_i16,representative,512,512,2048,i16,baseline_final,32,32,32,4,8,20,217.137
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,1,469.909
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,2,457.106
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,3,337.655
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,4,460.833
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,5,456.135
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,6,499.415
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,7,330.28
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,8,464.02
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,9,473.849
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,10,338.08
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,11,471.146
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,12,467.861
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,13,452.102
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,14,460.044
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,15,469.703
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,16,438.083
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,17,454.206
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,18,454.013
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,19,390.736
512x512x2048_i16,representative,512,512,2048,i16,optimized_final,16,16,256,2,8,20,468.269
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,1,6.28831
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,2,9.03945
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,3,6.18857
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,4,9.8055
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,5,9.60344
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,6,5.29083
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,7,9.78263
64x128x1024_i16,M_scaling,64,128,1024,i16,optimized_final,32,16,128,2,8,8,9.31033
