workload_key,categories,M,K,N,dtype
64x128x1024_i16,M_scaling,64,128,1024,i16
128x64x1024_i16,K_scaling,128,64,1024,i16
128x128x128_i16,square,128,128,128,i16
128x128x1024_i16,K_scaling;M_scaling,128,128,1024,i16
128x256x1024_i16,K_scaling,128,256,1024,i16
128x512x1024_i16,K_scaling,128,512,1024,i16
128x1024x128_i16,N_scaling,128,1024,128,i16
128x1024x256_i16,N_scaling,128,1024,256,i16
128x1024x512_i16,N_scaling,128,1024,512,i16
128x1024x1024_i16,N_scaling;K_scaling,128,1024,1024,i16
128x1024x2048_i16,N_scaling,128,1024,2048,i16
128x1024x4096_i16,N_scaling,128,1024,4096,i16
128x2048x1024_i16,K_scaling,128,2048,1024,i16
128x4096x1024_i16,K_scaling,128,4096,1024,i16
256x128x1024_i16,M_scaling,256,128,1024,i16
256x256x256_i16,square,256,256,256,i16
512x128x1024_i16,M_scaling,512,128,1024,i16
512x512x512_i16,square;representative,512,512,512,i16
512x512x2048_i16,representative,512,512,2048,i16
512x2048x512_i16,representative,512,2048,512,i16
1024x128x1024_i16,M_scaling,1024,128,1024,i16
1024x1024x1024_i16,square,1024,1024,1024,i16
2048x128x1024_i16,M_scaling,2048,128,1024,i16
2048x2048x2048_i16,square,2048,2048,2048,i16
4096x128x1024_i16,M_scaling,4096,128,1024,i16
512x768x768_bf16,representative,512,768,768,bf16
