workload_key,categories,timestamp_utc,M,K,N,dtype,total_ops,m_candidate_count,k_candidate_count,n_candidate_count,geometric_candidate_count,valid_tile_count,pruning_pct,de_popsize,de_maxiter,de_seed,exhaustive_threshold,tuning_iterations,final_iterations,search_mode,unique_hil_evaluations,evaluated_fraction,tuning_wall_time_s,baseline_valid_geometry,baseline_m,baseline_k,baseline_n,baseline_rows,baseline_cols,baseline_gops,baseline_std_gops,baseline_min_gops,baseline_max_gops,baseline_benchmark_wall_time_s,opt_m,opt_k,opt_n,opt_rows,opt_cols,opt_l1_bytes,opt_l2_bytes,opt_search_gops,opt_final_gops,opt_final_std_gops,opt_final_min_gops,opt_final_max_gops,opt_final_benchmark_wall_time_s,throughput_speedup,baseline_A_desc_bytes,baseline_B_desc_bytes,baseline_C_desc_bytes,baseline_total_desc_bytes,opt_A_desc_bytes,opt_B_desc_bytes,opt_C_desc_bytes,opt_total_desc_bytes,A_desc_reduction_factor,B_desc_reduction_factor,C_desc_reduction_factor,total_desc_reduction_factor,baseline_R_A,opt_R_A,status,error_message
128x128x128_i16,square,2026-08-11T19:39:39+00:00,128,128,128,i16,4194304,4,6,1,24,24,0.0,4,2,42,12,15,20,projected_de,18,0.75,232.768,0,32,32,32,4,8,,,,,,64,8,16,2,8,10752,49664,2.32686,2.20627,0.362477,1.43346,2.65294,13.362,,,,,,32768,32768,65536,131072,,,,,,1,complete,
512x512x2048_i16,representative,2026-08-11T19:44:17+00:00,512,512,2048,i16,1073741824,6,8,5,240,7,97.0833,4,2,42,12,15,20,exhaustive,7,1.0,224.536,1,32,32,32,4,8,316.957,48.490674,212.96,352.162,39.512,16,16,256,2,8,50176,114688,433.815,440.672,48.389422,330.28,499.415,38.608,1.390321,4194304,8388608,4194304,16777216,524288,33554432,4194304,38273024,8.0,0.25,1.0,0.438356,8,1,complete,
64x128x1024_i16,M_scaling,2026-08-11T19:57:36+00:00,64,128,1024,i16,16777216,3,6,4,72,14,80.5556,4,2,42,12,15,20,projected_de,13,0.928571,170.316,0,32,32,32,4,8,,,,,,32,16,128,2,8,43008,90112,9.29781,7.47444,1.958507,4.02814,9.81698,13.507,,,,,,16384,262144,262144,540672,,,,,,1,complete,
128x64x1024_i16,K_scaling,2026-08-11T20:00:40+00:00,128,64,1024,i16,16777216,4,5,4,80,14,82.5,4,2,42,12,15,20,projected_de,11,0.785714,143.419,1,32,32,32,4,8,4.92049,1.048544,3.37095,6.38645,14.859,32,32,128,2,8,53248,90112,9.62833,7.60147,1.654927,5.54619,9.69221,13.793,1.54486,65536,131072,524288,720896,16384,262144,524288,802816,4.0,0.5,1.0,0.897959,4,1,complete,
128x128x1024_i16,K_scaling;M_scaling,2026-08-11T20:03:32+00:00,128,128,1024,i16,33554432,4,6,4,96,14,85.4167,4,2,42,12,15,20,projected_de,12,0.857143,161.514,1,32,32,32,4,8,10.3948,2.301821,5.88571,13.2731,15.255,16,4,128,2,8,18688,43008,18.2472,16.4932,3.213365,9.18293,20.2135,14.478,1.586678,131072,262144,524288,917504,32768,1048576,524288,1605632,4.0,0.25,1.0,0.571429,4,1,complete,
128x256x1024_i16,K_scaling,2026-08-11T20:06:43+00:00,128,256,1024,i16,67108864,4,7,4,112,14,87.5,4,2,42,12,15,20,projected_de,12,0.857143,169.161,1,32,32,32,4,8,19.1007,4.615681,11.1218,24.7087,16.107,16,32,128,2,8,34816,65536,36.3259,32.9401,5.560534,19.802,38.1517,14.638,1.724549,262144,524288,524288,1310720,65536,2097152,524288,2686976,4.0,0.25,1.0,0.487805,4,1,complete,
128x512x1024_i16,K_scaling,2026-08-11T20:10:03+00:00,128,512,1024,i16,134217728,4,8,4,128,14,89.0625,4,2,42,12,15,20,projected_de,11,0.785714,169.314,1,32,32,32,4,8,40.4103,7.758176,26.6147,48.8597,18.259,32,32,128,2,8,53248,147456,69.2875,63.1943,10.000588,47.9692,76.6958,16.932,1.563817,524288,1048576,524288,2097152,131072,2097152,524288,2752512,4.0,0.5,1.0,0.761905,4,1,complete,
128x1024x128_i16,N_scaling,2026-08-11T20:13:27+00:00,128,1024,128,i16,33554432,4,9,1,36,28,22.2222,4,2,42,12,15,20,projected_de,18,0.642857,244.891,0,32,32,32,4,8,,,,,,16,32,16,2,8,6144,71680,18.5874,16.9905,2.213219,12.1398,19.3956,14.493,,,,,,262144,1048576,65536,1376256,,,,,,1,complete,
128x1024x256_i16,N_scaling,2026-08-11T20:17:47+00:00,128,1024,256,i16,67108864,4,9,2,72,25,65.2778,4,2,42,12,15,20,projected_de,16,0.64,227.841,1,32,32,32,4,8,20.107,3.960791,14.2059,24.5012,17.015,32,64,32,2,8,24576,155648,36.7881,33.3969,5.112282,23.1171,39.8745,15.332,1.660959,262144,524288,131072,917504,262144,1048576,131072,1441792,1.0,0.5,1.0,0.636364,1,1,complete,
128x1024x512_i16,N_scaling,2026-08-11T20:22:07+00:00,128,1024,512,i16,134217728,4,9,3,108,21,80.5556,4,2,42,12,15,20,projected_de,13,0.619048,201.537,1,32,32,32,4,8,43.9388,6.134008,25.991,50.3065,20.798,32,64,64,2,8,40960,180224,70.6554,67.8768,8.243974,50.0252,78.3067,17.044,1.544803,524288,1048576,262144,1835008,262144,2097152,262144,2621440,2.0,0.5,1.0,0.7,2,1,complete,
128x1024x1024_i16,N_scaling;K_scaling,2026-08-11T20:26:06+00:00,128,1024,1024,i16,268435456,4,9,4,144,14,90.2778,4,2,42,12,15,20,projected_de,11,0.785714,197.468,1,32,32,32,4,8,90.3923,10.037077,57.6537,102.77,22.374,32,32,128,2,8,53248,212992,140.229,126.4,21.939778,81.915,148.965,20.759,1.398349,1048576,2097152,524288,3670016,262144,4194304,524288,4980736,4.0,0.5,1.0,0.736842,4,1,complete,
128x1024x2048_i16,N_scaling,2026-08-11T20:30:07+00:00,128,1024,2048,i16,536870912,4,9,5,180,7,96.1111,4,2,42,12,15,20,exhaustive,7,1.0,160.114,1,32,32,32,4,8,171.211,16.744098,108.196,181.192,28.045,16,16,256,2,8,50176,147456,247.343,261.339,19.400931,181.437,277.166,26.485,1.526415,2097152,4194304,1048576,7340032,262144,16777216,1048576,18087936,8.0,0.25,1.0,0.405797,8,1,complete,
128x1024x4096_i16,N_scaling,2026-08-11T20:33:42+00:00,128,1024,4096,i16,1073741824,4,9,6,216,2,99.0741,4,2,42,12,15,20,exhaustive,2,1.0,66.236,1,32,32,32,4,8,326.174,3.48539,319.947,335.125,41.457,8,8,512,2,8,49408,114688,390.045,385.858,22.612057,301.105,406.72,39.966,1.182982,4194304,8388608,2097152,14680064,262144,67108864,2097152,69468160,16.0,0.125,1.0,0.211321,16,1,complete,
128x2048x1024_i16,K_scaling,2026-08-11T20:36:09+00:00,128,2048,1024,i16,536870912,4,10,4,160,14,91.25,4,2,42,12,15,20,projected_de,10,0.714286,240.232,1,32,32,32,4,8,179.113,13.703004,138.12,186.803,29.283,32,32,128,2,8,53248,344064,276.992,256.585,36.791588,144.243,291.303,28.543,1.432531,2097152,4194304,524288,6815744,524288,8388608,524288,9437184,4.0,0.5,1.0,0.722222,4,1,complete,
128x4096x1024_i16,K_scaling,2026-08-11T20:41:07+00:00,128,4096,1024,i16,1073741824,4,11,4,176,10,94.3182,4,2,42,12,15,20,exhaustive,10,1.0,342.834,1,32,32,32,4,8,325.233,17.853578,254.08,346.928,42.337,16,64,128,2,8,53248,327680,493.831,485.298,39.067996,335.335,518.967,41.229,1.492155,4194304,8388608,524288,13107200,1048576,33554432,524288,35127296,4.0,0.25,1.0,0.373134,4,1,complete,
256x128x1024_i16,M_scaling,2026-08-11T20:48:14+00:00,256,128,1024,i16,67108864,5,6,4,120,14,88.3333,4,2,42,12,15,20,projected_de,12,0.857143,166.263,1,32,32,32,4,8,19.1739,4.381059,12.9855,24.2183,16.196,16,64,128,2,8,53248,73728,33.1521,33.5371,6.175726,22.3622,40.4027,14.598,1.749102,262144,524288,1048576,1835008,65536,2097152,1048576,3211264,4.0,0.25,1.0,0.571429,4,1,complete,
256x256x256_i16,square,2026-08-11T20:51:31+00:00,256,256,256,i16,33554432,5,7,2,70,29,58.5714,4,2,42,12,15,20,projected_de,17,0.586207,228.071,1,32,32,32,4,8,10.1732,2.023974,7.21446,12.9155,17.215,128,8,32,2,8,37888,197632,18.6257,17.9544,2.10171,9.38585,20.9323,14.204,1.764872,131072,262144,262144,655360,131072,131072,262144,524288,1.0,2.0,1.0,1.25,1,1,complete,
512x128x1024_i16,M_scaling,2026-08-11T20:55:50+00:00,512,128,1024,i16,134217728,6,6,4,144,14,90.2778,4,2,42,12,15,20,projected_de,11,0.785714,166.042,1,32,32,32,4,8,41.1613,9.228309,23.9546,49.6367,17.741,16,64,128,2,8,53248,73728,68.1421,64.8038,11.803943,43.0461,75.4456,16.439,1.574387,524288,1048576,2097152,3670016,131072,4194304,2097152,6422528,4.0,0.25,1.0,0.571429,4,1,complete,
512x512x512_i16,square;representative,2026-08-11T20:59:11+00:00,512,512,512,i16,268435456,6,8,3,144,21,85.4167,4,2,42,12,15,20,projected_de,15,0.714286,261.284,1,32,32,32,4,8,88.8709,9.225629,65.2017,96.4208,20.781,32,16,64,2,8,22528,102400,136.427,131.682,12.224378,101.719,146.847,19.394,1.481722,1048576,2097152,1048576,4194304,524288,4194304,1048576,5767168,2.0,0.5,1.0,0.727273,2,1,complete,
512x2048x512_i16,representative,2026-08-11T21:04:12+00:00,512,2048,512,i16,1073741824,6,10,3,180,17,90.5556,4,2,42,12,15,20,projected_de,12,0.705882,399.079,1,32,32,32,4,8,334.699,37.089165,245.876,366.34,42.102,32,64,64,2,8,40960,311296,480.604,469.253,70.77076,307.134,536.603,40.003,1.402015,4194304,8388608,1048576,13631488,2097152,16777216,1048576,19922944,2.0,0.5,1.0,0.684211,2,1,complete,
1024x128x1024_i16,M_scaling,2026-08-11T21:12:13+00:00,1024,128,1024,i16,268435456,7,6,4,168,14,91.6667,4,2,42,12,15,20,projected_de,13,0.928571,230.485,1,32,32,32,4,8,75.4744,16.027163,47.7898,96.5943,20.97,16,16,128,2,8,25600,49152,128.526,129.083,15.227493,82.1657,139.23,19.555,1.710289,1048576,2097152,4194304,7340032,262144,8388608,4194304,12845056,4.0,0.25,1.0,0.571429,4,1,complete,
1024x1024x1024_i16,square,2026-08-11T21:16:44+00:00,1024,1024,1024,i16,2147483648,7,9,4,252,14,94.4444,4,2,42,12,15,20,projected_de,11,0.785714,577.16,1,32,32,32,4,8,586.323,72.897695,405.568,647.417,66.196,32,32,128,2,8,53248,212992,812.534,828.767,65.57331,668.581,885.195,63.413,1.413499,8388608,16777216,4194304,29360128,2097152,33554432,4194304,39845888,4.0,0.5,1.0,0.736842,4,1,complete,
2048x128x1024_i16,M_scaling,2026-08-11T21:28:31+00:00,2048,128,1024,i16,536870912,8,6,4,192,14,92.7083,4,2,42,12,15,20,projected_de,10,0.714286,230.745,1,32,32,32,4,8,157.663,30.903292,92.5639,187.651,27.587,16,16,128,2,8,25600,49152,230.202,226.238,27.778547,165.293,247.406,26.338,1.434947,2097152,4194304,8388608,14680064,524288,16777216,8388608,25690112,4.0,0.25,1.0,0.571429,4,1,complete,
2048x2048x2048_i16,square,2026-08-11T21:33:16+00:00,2048,2048,2048,i16,17179869184,8,10,5,400,7,98.25,4,2,42,12,15,20,exhaustive,7,1.0,407.865,1,32,32,32,4,8,1403.73,27.499873,1348.08,1463.11,73.166,16,16,256,2,8,50176,212992,1554.51,1573.38,13.452818,1548.01,1598.13,72.62,1.120857,67108864,134217728,16777216,218103808,8388608,536870912,16777216,562036736,8.0,0.25,1.0,0.38806,8,1,complete,
4096x128x1024_i16,M_scaling,2026-08-11T21:42:29+00:00,4096,128,1024,i16,1073741824,9,6,4,216,14,93.5185,4,2,42,12,15,20,projected_de,12,0.857143,403.024,1,32,32,32,4,8,284.252,47.565557,209.92,344.148,40.761,32,32,128,2,8,53248,98304,432.181,390.945,61.744902,291.461,464.421,39.243,1.375347,4194304,8388608,16777216,29360128,1048576,16777216,16777216,34603008,4.0,0.5,1.0,0.848485,4,1,complete,
512x768x768_bf16,representative,2026-08-11T21:50:33+00:00,512,768,768,bf16,603979776,6,12,4,288,28,90.2778,4,2,42,12,15,20,projected_de,19,0.678571,1052.019,1,32,32,32,4,8,186.437,26.719948,120.748,205.435,70.784,32,32,96,2,8,28672,135168,276.801,253.154,36.803106,174.611,288.158,69.073,1.357853,2359296,4718592,786432,7864320,786432,9437184,786432,11010048,3.0,0.5,1.0,0.714286,3,1,complete,
