M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
64,64,128,i16,32,32,32,0.0,98304,32,64,16,0.538956,73728,0.0,1.33
64,64,256,i16,32,32,32,0.0,196608,32,64,32,1.22667,139264,0.0,1.41
64,64,512,i16,32,32,32,0.0,393216,32,64,64,2.51493,270336,0.0,1.45
64,64,1024,i16,32,32,32,0.0,786432,32,16,128,4.7859,532480,0.0,1.48
64,64,2048,i16,32,32,32,0.0,1572864,16,8,256,9.27206,1581056,0.0,0.99
64,64,4096,i16,32,32,32,0.0,3145728,8,4,512,17.7733,5251072,0.0,0.6
64,128,128,i16,32,32,32,0.0,163840,32,128,16,1.09593,114688,0.0,1.43
64,128,256,i16,32,32,32,0.0,327680,32,128,32,2.32722,212992,0.0,1.54
64,128,512,i16,32,32,32,0.0,655360,32,64,64,4.80395,409600,0.0,1.6
64,128,1024,i16,32,32,32,0.0,1310720,32,16,128,8.99212,802816,0.0,1.63
64,128,2048,i16,32,32,32,0.0,2621440,16,8,256,19.2052,2637824,0.0,0.99
64,128,4096,i16,32,32,32,0.0,5242880,8,4,512,35.1877,9453568,0.0,0.55
64,256,128,i16,32,32,32,0.0,294912,32,128,16,2.19143,196608,0.0,1.5
64,256,256,i16,32,32,32,0.0,589824,32,128,32,4.36434,360448,0.0,1.64
64,256,512,i16,32,32,32,0.0,1179648,32,64,64,9.82979,688128,0.0,1.71
64,256,1024,i16,32,32,32,0.0,2359296,32,16,128,17.4943,1343488,0.0,1.76
64,256,2048,i16,32,32,32,0.0,4718592,16,8,256,35.8534,4751360,0.0,0.99
64,256,4096,i16,32,32,32,0.0,9437184,8,4,512,74.5437,17858560,0.0,0.53
64,512,128,i16,32,32,32,0.0,557056,32,128,16,4.74673,360448,0.0,1.55
