M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
64,64,128,bf16,32,32,32,0.0,81920,32,64,16,0.527628,57344,0.0,1.43
64,64,256,bf16,32,32,32,0.0,163840,32,64,32,1.15852,106496,0.0,1.54
64,64,512,bf16,32,32,32,0.0,327680,32,64,64,2.13122,204800,0.0,1.6
64,64,1024,bf16,32,32,32,0.0,655360,32,16,128,4.12216,401408,0.0,1.63
64,64,2048,bf16,32,32,32,0.0,1310720,16,8,256,8.27057,1318912,0.0,0.99
64,64,4096,bf16,32,32,32,0.0,2621440,4,8,512,0.0,8921088,0.0,0.29
64,128,128,bf16,32,32,32,0.0,147456,32,128,16,0.980844,98304,0.0,1.5
64,128,256,bf16,32,32,32,0.0,294912,32,128,32,2.10689,180224,0.0,1.64
64,128,512,bf16,32,32,32,0.0,589824,32,64,64,4.15083,344064,0.0,1.71
64,128,1024,bf16,32,32,32,0.0,1179648,32,16,128,7.82065,671744,0.0,1.76
64,128,2048,bf16,32,32,32,0.0,2359296,16,8,256,16.8595,2375680,0.0,0.99
64,128,4096,bf16,32,32,32,0.0,4718592,4,8,512,0.0,17317888,0.0,0.27
64,256,128,bf16,32,32,32,0.0,278528,32,128,16,2.15598,180224,0.0,1.55
64,256,256,bf16,32,32,32,0.0,557056,32,128,32,4.19392,327680,0.0,1.7
64,256,512,bf16,32,32,32,0.0,1114112,32,64,64,8.40095,622592,0.0,1.79
64,256,1024,bf16,32,32,32,0.0,2228224,32,16,128,15.9663,1212416,0.0,1.84
64,256,2048,bf16,32,32,32,0.0,4456448,16,8,256,31.4631,4489216,0.0,0.99
64,256,4096,bf16,32,32,32,0.0,8912896,4,8,512,0.0,34111488,0.0,0.26
64,512,128,bf16,32,32,32,0.0,540672,32,128,16,4.07005,344064,0.0,1.57
64,512,256,bf16,32,32,32,0.0,1081344,32,128,32,8.33025,622592,0.0,1.74
64,512,512,bf16,32,32,32,0.0,2162688,32,64,64,15.4578,1179648,0.0,1.83
64,512,1024,bf16,32,32,32,0.0,4325376,32,16,128,28.0303,2293760,0.0,1.89
64,512,2048,bf16,32,32,32,0.0,8650752,16,8,256,62.1762,8716288,0.0,0.99
