workload,M,K,N,dtype,m,k,n,batch,gops
512x512x512_i16,512,512,512,i16,32,64,64,1,133.829
512x512x512_i16,512,512,512,i16,32,64,64,2,134.116
512x512x512_i16,512,512,512,i16,32,64,64,3,133.883
512x512x512_i16,512,512,512,i16,16,32,64,1,132.925
512x512x512_i16,512,512,512,i16,16,32,64,2,133.371
512x512x512_i16,512,512,512,i16,16,32,64,3,137.215
512x512x512_i16,512,512,512,i16,16,64,64,1,130.28
512x512x512_i16,512,512,512,i16,16,64,64,2,128.755
512x512x512_i16,512,512,512,i16,16,64,64,3,132.133
512x768x768_bf16,512,768,768,bf16,8,64,96,1,241.596
512x768x768_bf16,512,768,768,bf16,8,64,96,2,248.03
512x768x768_bf16,512,768,768,bf16,8,64,96,3,233.262
512x768x768_bf16,512,768,768,bf16,8,48,96,1,243.014
512x768x768_bf16,512,768,768,bf16,8,48,96,2,240.121
512x768x768_bf16,512,768,768,bf16,8,48,96,3,235.186
512x768x768_bf16,512,768,768,bf16,8,32,96,1,238.253
512x768x768_bf16,512,768,768,bf16,8,32,96,2,233.787
512x768x768_bf16,512,768,768,bf16,8,32,96,3,234.939
512x512x2048_i16,512,512,2048,i16,16,16,256,1,415.505
512x512x2048_i16,512,512,2048,i16,16,16,256,2,416.528
512x512x2048_i16,512,512,2048,i16,16,16,256,3,402.892
512x512x2048_i16,512,512,2048,i16,16,8,256,1,382.45
512x512x2048_i16,512,512,2048,i16,16,8,256,2,383.464
512x512x2048_i16,512,512,2048,i16,16,8,256,3,367.764
512x512x2048_i16,512,512,2048,i16,8,32,256,1,354.79
512x512x2048_i16,512,512,2048,i16,8,32,256,2,364.249
512x512x2048_i16,512,512,2048,i16,8,32,256,3,366.666
