alpha,gamma,sigma,tile,GOPS
10.0,0.01,50.0,32x128x32,78.3468
10.0,0.01,100.0,32x64x64,70.1883
10.0,0.01,200.0,32x64x64,70.1883
10.0,0.01,500.0,32x64x64,70.1883
10.0,0.1,50.0,32x128x32,78.3468
10.0,0.1,100.0,32x64x64,70.1883
10.0,0.1,200.0,32x64x64,70.1883
10.0,0.1,500.0,32x64x64,70.1883
10.0,0.5,50.0,32x128x32,78.3468
10.0,0.5,100.0,32x64x64,70.1883
10.0,0.5,200.0,32x64x64,70.1883
10.0,0.5,500.0,32x64x64,70.1883
50.0,0.01,50.0,32x128x32,78.3468
50.0,0.01,100.0,32x128x32,78.3468
50.0,0.01,200.0,32x128x32,78.3468
50.0,0.01,500.0,32x64x64,70.1883
50.0,0.1,50.0,32x128x32,78.3468
50.0,0.1,100.0,32x128x32,78.3468
50.0,0.1,200.0,32x128x32,78.3468
50.0,0.1,500.0,32x64x64,70.1883
50.0,0.5,50.0,32x128x32,78.3468
50.0,0.5,100.0,32x128x32,78.3468
50.0,0.5,200.0,32x128x32,78.3468
50.0,0.5,500.0,32x64x64,70.1883
100.0,0.01,50.0,16x256x32,56.7373
100.0,0.01,100.0,32x128x32,78.3468
100.0,0.01,200.0,32x128x32,78.3468
100.0,0.01,500.0,32x128x32,78.3468
100.0,0.1,50.0,16x256x32,56.7373
100.0,0.1,100.0,32x128x32,78.3468
100.0,0.1,200.0,32x128x32,78.3468
100.0,0.1,500.0,32x128x32,78.3468
100.0,0.5,50.0,16x256x32,56.7373
100.0,0.5,100.0,32x128x32,78.3468
100.0,0.5,200.0,32x128x32,78.3468
100.0,0.5,500.0,32x128x32,78.3468
