alpha,gamma,sigma,tile,GOPS
10.0,0.01,50.0,64x96x32,121.656
10.0,0.01,100.0,64x64x48,137.873
10.0,0.01,200.0,64x64x48,137.873
10.0,0.01,500.0,64x64x48,137.873
10.0,0.1,50.0,64x96x32,121.656
10.0,0.1,100.0,64x64x48,137.873
10.0,0.1,200.0,64x64x48,137.873
10.0,0.1,500.0,64x64x48,137.873
10.0,0.5,50.0,64x96x32,121.656
10.0,0.5,100.0,64x64x48,137.873
10.0,0.5,200.0,64x64x48,137.873
10.0,0.5,500.0,64x64x48,137.873
50.0,0.01,50.0,32x192x32,135.484
50.0,0.01,100.0,32x128x48,164.788
50.0,0.01,200.0,64x96x32,121.656
50.0,0.01,500.0,64x64x48,137.873
50.0,0.1,50.0,32x192x32,135.484
50.0,0.1,100.0,32x128x48,164.788
50.0,0.1,200.0,64x96x32,121.656
50.0,0.1,500.0,64x64x48,137.873
50.0,0.5,50.0,32x192x32,135.484
50.0,0.5,100.0,32x128x48,164.788
50.0,0.5,200.0,64x96x32,121.656
50.0,0.5,500.0,64x64x48,137.873
100.0,0.01,50.0,32x192x32,135.484
100.0,0.01,100.0,32x192x32,135.484
100.0,0.01,200.0,32x128x48,164.788
100.0,0.01,500.0,64x96x32,121.656
100.0,0.1,50.0,32x192x32,135.484
100.0,0.1,100.0,32x192x32,135.484
100.0,0.1,200.0,32x128x48,164.788
100.0,0.1,500.0,64x96x32,121.656
100.0,0.5,50.0,32x192x32,135.484
100.0,0.5,100.0,32x192x32,135.484
100.0,0.5,200.0,32x128x48,164.788
100.0,0.5,500.0,64x96x32,121.656
